epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,150.984,0.99777,1.6925,0.01439,0.87632,0.65161,0.87015,0.6697,1.70313,1.23039,0.01239,2.93887e-05,2.93887e-05,2.93887e-05
60,153.912,1.09685,1.90726,0.01794,0.66641,0.67047,0.87171,0.65345,1.69114,1.29247,0.01295,2.92003e-05,2.92003e-05,2.92003e-05
61,156.548,0.70724,1.10736,0.00767,0.66641,0.67047,0.87171,0.65345,1.69114,1.29247,0.01295,2.89884e-05,2.89884e-05,2.89884e-05
62,158.999,0.89298,0.98866,0.01536,0.66641,0.67047,0.87171,0.65345,1.69114,1.29247,0.01295,2.87529e-05,2.87529e-05,2.87529e-05
63,161.62,1.35247,3.09651,0.02752,0.61167,0.66773,0.78882,0.57975,1.70316,1.33708,0.01314,2.84938e-05,2.84938e-05,2.84938e-05
64,164.111,0.86952,1.26022,0.00802,0.61167,0.66773,0.78882,0.57975,1.70316,1.33708,0.01314,2.82112e-05,2.82112e-05,2.82112e-05
65,166.484,1.05297,1.12785,0.01146,0.61167,0.66773,0.78882,0.57975,1.70316,1.33708,0.01314,2.7905e-05,2.7905e-05,2.7905e-05
66,168.887,0.76164,0.84444,0.01289,0.61847,0.66212,0.78608,0.56987,1.73405,1.34391,0.01351,2.75753e-05,2.75753e-05,2.75753e-05
67,171.333,0.88043,0.69375,0.00813,0.61847,0.66212,0.78608,0.56987,1.73405,1.34391,0.01351,2.7222e-05,2.7222e-05,2.7222e-05
68,173.517,1.12977,1.47225,0.01315,0.61847,0.66212,0.78608,0.56987,1.73405,1.34391,0.01351,2.68451e-05,2.68451e-05,2.68451e-05
69,176.177,0.91286,0.97443,0.01263,0.59266,0.66477,0.75829,0.5509,1.74826,1.38592,0.01379,2.64447e-05,2.64447e-05,2.64447e-05
70,178.656,1.28776,1.96974,0.02036,0.59266,0.66477,0.75829,0.5509,1.74826,1.38592,0.01379,2.60207e-05,2.60207e-05,2.60207e-05
71,181.209,0.80979,0.9412,0.00769,0.59266,0.66477,0.75829,0.5509,1.74826,1.38592,0.01379,2.55731e-05,2.55731e-05,2.55731e-05
72,183.479,0.98826,0.85927,0.00892,0.61911,0.68333,0.78521,0.56723,1.72844,1.35917,0.01362,2.5102e-05,2.5102e-05,2.5102e-05
73,185.941,0.77789,1.18408,0.01017,0.61911,0.68333,0.78521,0.56723,1.72844,1.35917,0.01362,2.46073e-05,2.46073e-05,2.46073e-05
74,188.092,0.92989,1.1813,0.01077,0.61911,0.68333,0.78521,0.56723,1.72844,1.35917,0.01362,2.40891e-05,2.40891e-05,2.40891e-05
75,190.582,1.1224,1.59251,0.01934,0.90015,0.47817,0.78407,0.567,1.7643,1.329,0.01429,2.35472e-05,2.35472e-05,2.35472e-05
76,192.795,0.95431,0.87584,0.01128,0.90015,0.47817,0.78407,0.567,1.7643,1.329,0.01429,2.29819e-05,2.29819e-05,2.29819e-05
77,195.015,1.02055,0.99843,0.01082,0.90015,0.47817,0.78407,0.567,1.7643,1.329,0.01429,2.23929e-05,2.23929e-05,2.23929e-05
78,197.204,1.15726,1.50831,0.01469,0.92793,0.47319,0.75644,0.53648,1.80712,1.38891,0.01499,2.17805e-05,2.17805e-05,2.17805e-05
79,199.416,0.69547,0.76562,0.00752,0.92793,0.47319,0.75644,0.53648,1.80712,1.38891,0.01499,2.11444e-05,2.11444e-05,2.11444e-05
80,201.591,0.92763,0.8248,0.01123,0.92793,0.47319,0.75644,0.53648,1.80712,1.38891,0.01499,2.04848e-05,2.04848e-05,2.04848e-05
81,203.788,0.86997,0.90776,0.01483,0.67119,0.48483,0.72909,0.52024,1.69037,1.50969,0.01412,1.98016e-05,1.98016e-05,1.98016e-05
82,205.982,0.79494,0.55327,0.0127,0.67119,0.48483,0.72909,0.52024,1.69037,1.50969,0.01412,1.90949e-05,1.90949e-05,1.90949e-05
83,208.242,0.96497,1.88583,0.01259,0.67119,0.48483,0.72909,0.52024,1.69037,1.50969,0.01412,1.83646e-05,1.83646e-05,1.83646e-05
84,210.754,0.73055,0.95243,0.01126,0.93929,0.46694,0.70159,0.4943,1.7292,1.60429,0.01483,1.76107e-05,1.76107e-05,1.76107e-05
85,213.337,0.84084,1.35712,0.00937,0.93929,0.46694,0.70159,0.4943,1.7292,1.60429,0.01483,1.68333e-05,1.68333e-05,1.68333e-05
86,215.622,1.15118,1.98126,0.0222,0.93929,0.46694,0.70159,0.4943,1.7292,1.60429,0.01483,1.60323e-05,1.60323e-05,1.60323e-05
87,218.133,1.13213,1.27813,0.01371,0.93929,0.46694,0.70159,0.4943,1.7292,1.60429,0.01483,1.52077e-05,1.52077e-05,1.52077e-05
88,220.509,1.0271,1.38599,0.01497,0.67734,0.48277,0.67431,0.46051,1.69261,1.72117,0.01424,1.43596e-05,1.43596e-05,1.43596e-05
89,222.841,1.19054,1.61749,0.01693,0.67734,0.48277,0.67431,0.46051,1.69261,1.72117,0.01424,1.34879e-05,1.34879e-05,1.34879e-05
90,225.122,0.87558,1.03483,0.00922,0.67734,0.48277,0.67431,0.46051,1.69261,1.72117,0.01424,1.25927e-05,1.25927e-05,1.25927e-05
91,227.376,0.65464,0.48083,0.00932,0.67734,0.48277,0.67431,0.46051,1.69261,1.72117,0.01424,1.16739e-05,1.16739e-05,1.16739e-05
92,230.081,0.52254,0.52378,0.00566,0.62395,0.49043,0.67338,0.47415,1.83114,1.51771,0.01542,1.07315e-05,1.07315e-05,1.07315e-05
93,232.959,0.90791,0.92629,0.01746,0.62395,0.49043,0.67338,0.47415,1.83114,1.51771,0.01542,9.76562e-06,9.76562e-06,9.76562e-06
94,235.413,0.63145,0.51078,0.00632,0.62395,0.49043,0.67338,0.47415,1.83114,1.51771,0.01542,8.77613e-06,8.77613e-06,8.77613e-06
95,237.71,1.13416,1.03815,0.01902,0.62395,0.49043,0.67338,0.47415,1.83114,1.51771,0.01542,7.76308e-06,7.76308e-06,7.76308e-06
96,240.057,0.80709,0.56115,0.01211,0.57127,0.50008,0.65977,0.47449,1.86013,1.47252,0.01639,6.72648e-06,6.72648e-06,6.72648e-06
97,242.441,0.64543,0.41708,0.00713,0.57127,0.50008,0.65977,0.47449,1.86013,1.47252,0.01639,5.6663e-06,5.6663e-06,5.6663e-06
98,245.23,0.78739,0.61125,0.01422,0.57127,0.50008,0.65977,0.47449,1.86013,1.47252,0.01639,4.58257e-06,4.58257e-06,4.58257e-06
99,247.486,0.82762,0.56159,0.00951,0.57127,0.50008,0.65977,0.47449,1.86013,1.47252,0.01639,3.47528e-06,3.47528e-06,3.47528e-06
100,249.728,0.65623,0.68678,0.00655,0.56781,0.50326,0.68125,0.49035,1.83242,1.47829,0.01565,2.34442e-06,2.34442e-06,2.34442e-06
